geoName,Anthropic
Alabama,6
Alaska,0
Arizona,15
Arkansas,9
California,58
Colorado,28
Connecticut,26
Delaware,0
District of Columbia,100
Florida,15
Georgia,15
Hawaii,19
Idaho,0
Illinois,19
Indiana,10
Iowa,10
Kansas,16
Kentucky,8
Louisiana,0
Maine,0
Maryland,21
Massachusetts,36
Michigan,8
Minnesota,11
Mississippi,0
Missouri,13
Montana,0
Nebraska,0
Nevada,13
New Hampshire,30
New Jersey,32
New Mexico,0
New York,42
North Carolina,18
North Dakota,0
Ohio,10
Oklahoma,14
Oregon,26
Pennsylvania,18
Rhode Island,0
South Carolina,8
South Dakota,0
Tennessee,11
Texas,17
Utah,21
Vermont,0
Virginia,26
Washington,63
West Virginia,0
Wisconsin,15
Wyoming,0
