geoName,Meta AI
Alabama,63
Alaska,0
Arizona,58
Arkansas,65
California,92
Colorado,57
Connecticut,58
Delaware,65
District of Columbia,94
Florida,63
Georgia,57
Hawaii,82
Idaho,56
Illinois,64
Indiana,64
Iowa,44
Kansas,70
Kentucky,46
Louisiana,100
Maine,38
Maryland,60
Massachusetts,67
Michigan,56
Minnesota,59
Mississippi,91
Missouri,44
Montana,0
Nebraska,72
Nevada,47
New Hampshire,46
New Jersey,84
New Mexico,61
New York,83
North Carolina,97
North Dakota,0
Ohio,63
Oklahoma,65
Oregon,63
Pennsylvania,50
Rhode Island,0
South Carolina,47
South Dakota,0
Tennessee,47
Texas,81
Utah,84
Vermont,0
Virginia,86
Washington,95
West Virginia,60
Wisconsin,52
Wyoming,0
