geoName,GitHub Copilot
Alabama,34
Alaska,0
Arizona,50
Arkansas,66
California,75
Colorado,59
Connecticut,30
Delaware,0
District of Columbia,72
Florida,32
Georgia,35
Hawaii,0
Idaho,53
Illinois,53
Indiana,23
Iowa,37
Kansas,45
Kentucky,0
Louisiana,0
Maine,0
Maryland,51
Massachusetts,89
Michigan,41
Minnesota,49
Mississippi,0
Missouri,35
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,70
New Mexico,0
New York,49
North Carolina,46
North Dakota,0
Ohio,40
Oklahoma,0
Oregon,63
Pennsylvania,44
Rhode Island,68
South Carolina,29
South Dakota,0
Tennessee,34
Texas,45
Utah,73
Vermont,0
Virginia,69
Washington,100
West Virginia,0
Wisconsin,35
Wyoming,0
