geoName,Grok AI
Alabama,45
Alaska,0
Arizona,56
Arkansas,44
California,74
Colorado,70
Connecticut,53
Delaware,0
District of Columbia,100
Florida,67
Georgia,56
Hawaii,47
Idaho,70
Illinois,54
Indiana,49
Iowa,50
Kansas,69
Kentucky,44
Louisiana,35
Maine,63
Maryland,73
Massachusetts,63
Michigan,55
Minnesota,41
Mississippi,30
Missouri,61
Montana,0
Nebraska,57
Nevada,67
New Hampshire,59
New Jersey,66
New Mexico,34
New York,59
North Carolina,45
North Dakota,0
Ohio,47
Oklahoma,42
Oregon,74
Pennsylvania,53
Rhode Island,0
South Carolina,40
South Dakota,0
Tennessee,55
Texas,62
Utah,100
Vermont,0
Virginia,68
Washington,79
West Virginia,44
Wisconsin,45
Wyoming,0
