geoName,GPT-4
Alabama,0
Alaska,0
Arizona,23
Arkansas,0
California,55
Colorado,35
Connecticut,36
Delaware,0
District of Columbia,100
Florida,23
Georgia,22
Hawaii,0
Idaho,0
Illinois,28
Indiana,24
Iowa,29
Kansas,0
Kentucky,20
Louisiana,0
Maine,0
Maryland,32
Massachusetts,54
Michigan,12
Minnesota,26
Mississippi,0
Missouri,24
Montana,0
Nebraska,0
Nevada,0
New Hampshire,55
New Jersey,25
New Mexico,0
New York,35
North Carolina,23
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,38
Pennsylvania,24
Rhode Island,0
South Carolina,17
South Dakota,0
Tennessee,17
Texas,23
Utah,49
Vermont,0
Virginia,39
Washington,52
West Virginia,0
Wisconsin,19
Wyoming,0
