geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,98
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,34
Georgia,28
Hawaii,0
Idaho,0
Illinois,61
Indiana,71
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,80
Massachusetts,100
Michigan,38
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,74
New Mexico,0
New York,73
North Carolina,30
North Dakota,0
Ohio,48
Oklahoma,0
Oregon,66
Pennsylvania,42
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,44
Utah,93
Vermont,0
Virginia,52
Washington,53
West Virginia,0
Wisconsin,0
Wyoming,0
