geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,40
Arkansas,0
California,74
Colorado,38
Connecticut,0
Delaware,0
District of Columbia,0
Florida,28
Georgia,45
Hawaii,0
Idaho,0
Illinois,51
Indiana,0
Iowa,50
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,39
Massachusetts,74
Michigan,33
Minnesota,57
Mississippi,0
Missouri,41
Montana,0
Nebraska,0
Nevada,40
New Hampshire,0
New Jersey,63
New Mexico,0
New York,70
North Carolina,58
North Dakota,0
Ohio,46
Oklahoma,0
Oregon,52
Pennsylvania,33
Rhode Island,0
South Carolina,28
South Dakota,0
Tennessee,22
Texas,50
Utah,65
Vermont,0
Virginia,72
Washington,100
West Virginia,0
Wisconsin,50
Wyoming,0
