geoName,Grok AI
Alabama,30
Alaska,0
Arizona,55
Arkansas,0
California,45
Colorado,57
Connecticut,28
Delaware,0
District of Columbia,0
Florida,38
Georgia,30
Hawaii,0
Idaho,0
Illinois,35
Indiana,28
Iowa,0
Kansas,0
Kentucky,0
Louisiana,33
Maine,0
Maryland,42
Massachusetts,36
Michigan,38
Minnesota,42
Mississippi,59
Missouri,34
Montana,0
Nebraska,0
Nevada,51
New Hampshire,0
New Jersey,44
New Mexico,0
New York,34
North Carolina,33
North Dakota,0
Ohio,30
Oklahoma,33
Oregon,35
Pennsylvania,44
Rhode Island,0
South Carolina,24
South Dakota,0
Tennessee,23
Texas,38
Utah,38
Vermont,0
Virginia,28
Washington,62
West Virginia,100
Wisconsin,36
Wyoming,0
