geoName,Microsoft Copilot
Alabama,41
Alaska,0
Arizona,55
Arkansas,45
California,59
Colorado,53
Connecticut,59
Delaware,0
District of Columbia,100
Florida,61
Georgia,70
Hawaii,66
Idaho,49
Illinois,72
Indiana,57
Iowa,73
Kansas,57
Kentucky,48
Louisiana,21
Maine,0
Maryland,62
Massachusetts,67
Michigan,52
Minnesota,58
Mississippi,30
Missouri,56
Montana,0
Nebraska,69
Nevada,42
New Hampshire,58
New Jersey,60
New Mexico,47
New York,65
North Carolina,77
North Dakota,0
Ohio,58
Oklahoma,46
Oregon,72
Pennsylvania,62
Rhode Island,0
South Carolina,35
South Dakota,0
Tennessee,56
Texas,67
Utah,70
Vermont,0
Virginia,72
Washington,92
West Virginia,0
Wisconsin,49
Wyoming,0
