geoName,Perplexity AI
Alabama,29
Alaska,0
Arizona,55
Arkansas,35
California,79
Colorado,32
Connecticut,78
Delaware,0
District of Columbia,0
Florida,51
Georgia,74
Hawaii,100
Idaho,51
Illinois,43
Indiana,35
Iowa,0
Kansas,39
Kentucky,31
Louisiana,32
Maine,0
Maryland,54
Massachusetts,85
Michigan,27
Minnesota,31
Mississippi,0
Missouri,47
Montana,0
Nebraska,0
Nevada,57
New Hampshire,0
New Jersey,73
New Mexico,44
New York,72
North Carolina,41
North Dakota,0
Ohio,40
Oklahoma,29
Oregon,50
Pennsylvania,51
Rhode Island,74
South Carolina,29
South Dakota,0
Tennessee,39
Texas,59
Utah,44
Vermont,0
Virginia,63
Washington,73
West Virginia,0
Wisconsin,31
Wyoming,0
