geoName,ChatGPT
Alabama,58
Alaska,50
Arizona,78
Arkansas,51
California,97
Colorado,68
Connecticut,62
Delaware,55
District of Columbia,100
Florida,77
Georgia,93
Hawaii,62
Idaho,51
Illinois,63
Indiana,56
Iowa,40
Kansas,51
Kentucky,50
Louisiana,48
Maine,41
Maryland,74
Massachusetts,67
Michigan,53
Minnesota,49
Mississippi,49
Missouri,57
Montana,39
Nebraska,51
Nevada,69
New Hampshire,51
New Jersey,73
New Mexico,58
New York,71
North Carolina,66
North Dakota,43
Ohio,49
Oklahoma,51
Oregon,54
Pennsylvania,53
Rhode Island,53
South Carolina,54
South Dakota,44
Tennessee,54
Texas,86
Utah,72
Vermont,45
Virginia,77
Washington,69
West Virginia,38
Wisconsin,43
Wyoming,42
