geoName,Anthropic
Alabama,0
Alaska,0
Arizona,8
Arkansas,0
California,59
Colorado,27
Connecticut,11
Delaware,0
District of Columbia,100
Florida,12
Georgia,15
Hawaii,0
Idaho,0
Illinois,20
Indiana,12
Iowa,0
Kansas,0
Kentucky,0
Louisiana,8
Maine,23
Maryland,21
Massachusetts,32
Michigan,12
Minnesota,16
Mississippi,0
Missouri,7
Montana,0
Nebraska,0
Nevada,24
New Hampshire,0
New Jersey,25
New Mexico,0
New York,37
North Carolina,13
North Dakota,0
Ohio,10
Oklahoma,0
Oregon,26
Pennsylvania,16
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,11
Texas,15
Utah,27
Vermont,53
Virginia,25
Washington,57
West Virginia,0
Wisconsin,12
Wyoming,71
