geoName,Perplexity AI
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,21
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,100
Florida,17
Georgia,14
Hawaii,0
Idaho,0
Illinois,16
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,21
Michigan,13
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,16
New Mexico,0
New York,19
North Carolina,11
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,25
Pennsylvania,14
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,14
Utah,0
Vermont,0
Virginia,14
Washington,27
West Virginia,0
Wisconsin,0
Wyoming,0
