geoName,Anthropic
Alabama,0
Alaska,0
Arizona,22
Arkansas,0
California,100
Colorado,38
Connecticut,0
Delaware,0
District of Columbia,0
Florida,18
Georgia,21
Hawaii,0
Idaho,0
Illinois,20
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,24
Massachusetts,58
Michigan,19
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,49
New Mexico,0
New York,58
North Carolina,20
North Dakota,0
Ohio,20
Oklahoma,0
Oregon,0
Pennsylvania,39
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,30
Utah,0
Vermont,0
Virginia,41
Washington,78
West Virginia,0
Wisconsin,0
Wyoming,0
