geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,25
Arkansas,0
California,85
Colorado,40
Connecticut,0
Delaware,0
District of Columbia,0
Florida,26
Georgia,38
Hawaii,0
Idaho,0
Illinois,45
Indiana,25
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,53
Massachusetts,75
Michigan,44
Minnesota,23
Mississippi,0
Missouri,24
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,46
New Mexico,0
New York,52
North Carolina,40
North Dakota,0
Ohio,36
Oklahoma,0
Oregon,46
Pennsylvania,31
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,35
Texas,40
Utah,55
Vermont,0
Virginia,57
Washington,100
West Virginia,0
Wisconsin,44
Wyoming,0
