geoName,ChatGPT
Alabama,34
Alaska,42
Arizona,54
Arkansas,32
California,100
Colorado,60
Connecticut,61
Delaware,49
District of Columbia,85
Florida,51
Georgia,53
Hawaii,48
Idaho,42
Illinois,66
Indiana,49
Iowa,36
Kansas,39
Kentucky,31
Louisiana,26
Maine,41
Maryland,67
Massachusetts,86
Michigan,51
Minnesota,49
Mississippi,25
Missouri,45
Montana,36
Nebraska,39
Nevada,55
New Hampshire,53
New Jersey,78
New Mexico,34
New York,67
North Carolina,48
North Dakota,38
Ohio,41
Oklahoma,36
Oregon,70
Pennsylvania,54
Rhode Island,58
South Carolina,35
South Dakota,34
Tennessee,40
Texas,60
Utah,69
Vermont,51
Virginia,78
Washington,87
West Virginia,28
Wisconsin,41
Wyoming,31
