geoName,ChatGPT
Alabama,28
Alaska,42
Arizona,44
Arkansas,34
California,91
Colorado,62
Connecticut,63
Delaware,47
District of Columbia,100
Florida,44
Georgia,48
Hawaii,49
Idaho,38
Illinois,58
Indiana,43
Iowa,43
Kansas,45
Kentucky,34
Louisiana,29
Maine,45
Maryland,68
Massachusetts,92
Michigan,48
Minnesota,50
Mississippi,21
Missouri,39
Montana,35
Nebraska,41
Nevada,48
New Hampshire,48
New Jersey,80
New Mexico,30
New York,67
North Carolina,47
North Dakota,37
Ohio,42
Oklahoma,36
Oregon,55
Pennsylvania,54
Rhode Island,60
South Carolina,30
South Dakota,30
Tennessee,33
Texas,51
Utah,61
Vermont,62
Virginia,66
Washington,88
West Virginia,31
Wisconsin,42
Wyoming,19
