geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,28
Arkansas,0
California,70
Colorado,42
Connecticut,0
Delaware,0
District of Columbia,0
Florida,27
Georgia,40
Hawaii,0
Idaho,0
Illinois,27
Indiana,30
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,43
Massachusetts,73
Michigan,23
Minnesota,41
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,52
New Hampshire,0
New Jersey,43
New Mexico,0
New York,57
North Carolina,25
North Dakota,0
Ohio,40
Oklahoma,0
Oregon,64
Pennsylvania,42
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,40
Texas,43
Utah,68
Vermont,0
Virginia,45
Washington,100
West Virginia,0
Wisconsin,35
Wyoming,0
