geoName,ChatGPT
Alabama,55
Alaska,55
Arizona,79
Arkansas,60
California,100
Colorado,74
Connecticut,78
Delaware,68
District of Columbia,97
Florida,74
Georgia,83
Hawaii,57
Idaho,54
Illinois,73
Indiana,63
Iowa,54
Kansas,58
Kentucky,47
Louisiana,55
Maine,49
Maryland,82
Massachusetts,86
Michigan,62
Minnesota,68
Mississippi,47
Missouri,53
Montana,49
Nebraska,50
Nevada,80
New Hampshire,51
New Jersey,100
New Mexico,57
New York,85
North Carolina,72
North Dakota,58
Ohio,57
Oklahoma,55
Oregon,68
Pennsylvania,64
Rhode Island,67
South Carolina,51
South Dakota,59
Tennessee,48
Texas,85
Utah,81
Vermont,51
Virginia,79
Washington,85
West Virginia,41
Wisconsin,56
Wyoming,48
