geoName,Grok AI
Alabama,57
Alaska,0
Arizona,69
Arkansas,0
California,81
Colorado,67
Connecticut,66
Delaware,0
District of Columbia,0
Florida,64
Georgia,54
Hawaii,100
Idaho,0
Illinois,62
Indiana,50
Iowa,56
Kansas,0
Kentucky,45
Louisiana,60
Maine,0
Maryland,72
Massachusetts,67
Michigan,62
Minnesota,53
Mississippi,0
Missouri,61
Montana,0
Nebraska,0
Nevada,92
New Hampshire,0
New Jersey,73
New Mexico,0
New York,70
North Carolina,57
North Dakota,0
Ohio,52
Oklahoma,56
Oregon,72
Pennsylvania,50
Rhode Island,0
South Carolina,59
South Dakota,0
Tennessee,49
Texas,67
Utah,76
Vermont,0
Virginia,68
Washington,65
West Virginia,0
Wisconsin,49
Wyoming,0
