geoName,Perplexity AI
Alabama,26
Alaska,0
Arizona,46
Arkansas,34
California,74
Colorado,47
Connecticut,56
Delaware,0
District of Columbia,100
Florida,43
Georgia,68
Hawaii,84
Idaho,0
Illinois,50
Indiana,33
Iowa,30
Kansas,29
Kentucky,16
Louisiana,30
Maine,0
Maryland,60
Massachusetts,87
Michigan,40
Minnesota,37
Mississippi,0
Missouri,32
Montana,0
Nebraska,50
Nevada,34
New Hampshire,45
New Jersey,75
New Mexico,0
New York,75
North Carolina,45
North Dakota,0
Ohio,32
Oklahoma,34
Oregon,50
Pennsylvania,44
Rhode Island,0
South Carolina,30
South Dakota,0
Tennessee,38
Texas,50
Utah,66
Vermont,0
Virginia,52
Washington,63
West Virginia,0
Wisconsin,31
Wyoming,0
