geoName,Microsoft Copilot
Alabama,40
Alaska,0
Arizona,53
Arkansas,41
California,51
Colorado,64
Connecticut,60
Delaware,0
District of Columbia,100
Florida,58
Georgia,86
Hawaii,47
Idaho,60
Illinois,54
Indiana,67
Iowa,58
Kansas,46
Kentucky,57
Louisiana,37
Maine,66
Maryland,73
Massachusetts,75
Michigan,56
Minnesota,65
Mississippi,0
Missouri,56
Montana,54
Nebraska,76
Nevada,46
New Hampshire,58
New Jersey,62
New Mexico,33
New York,58
North Carolina,72
North Dakota,0
Ohio,56
Oklahoma,51
Oregon,66
Pennsylvania,60
Rhode Island,60
South Carolina,51
South Dakota,0
Tennessee,53
Texas,78
Utah,85
Vermont,0
Virginia,77
Washington,75
West Virginia,0
Wisconsin,73
Wyoming,0
