geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,40
Arkansas,0
California,77
Colorado,68
Connecticut,47
Delaware,0
District of Columbia,92
Florida,31
Georgia,29
Hawaii,0
Idaho,0
Illinois,45
Indiana,32
Iowa,52
Kansas,0
Kentucky,28
Louisiana,0
Maine,0
Maryland,31
Massachusetts,69
Michigan,36
Minnesota,56
Mississippi,0
Missouri,32
Montana,0
Nebraska,0
Nevada,38
New Hampshire,0
New Jersey,48
New Mexico,0
New York,50
North Carolina,43
North Dakota,0
Ohio,29
Oklahoma,37
Oregon,61
Pennsylvania,35
Rhode Island,0
South Carolina,34
South Dakota,0
Tennessee,32
Texas,43
Utah,53
Vermont,0
Virginia,75
Washington,100
West Virginia,0
Wisconsin,55
Wyoming,0
