geoName,Anthropic
Alabama,7
Alaska,0
Arizona,14
Arkansas,0
California,52
Colorado,27
Connecticut,14
Delaware,0
District of Columbia,100
Florida,15
Georgia,15
Hawaii,0
Idaho,0
Illinois,20
Indiana,11
Iowa,9
Kansas,12
Kentucky,9
Louisiana,7
Maine,0
Maryland,20
Massachusetts,36
Michigan,12
Minnesota,11
Mississippi,0
Missouri,14
Montana,0
Nebraska,0
Nevada,25
New Hampshire,17
New Jersey,26
New Mexico,0
New York,35
North Carolina,11
North Dakota,0
Ohio,8
Oklahoma,8
Oregon,20
Pennsylvania,15
Rhode Island,26
South Carolina,9
South Dakota,0
Tennessee,10
Texas,16
Utah,16
Vermont,0
Virginia,23
Washington,50
West Virginia,0
Wisconsin,9
Wyoming,0
