geoName,ChatGPT
Alabama,52
Alaska,42
Arizona,63
Arkansas,41
California,93
Colorado,62
Connecticut,70
Delaware,57
District of Columbia,100
Florida,63
Georgia,68
Hawaii,59
Idaho,53
Illinois,63
Indiana,50
Iowa,43
Kansas,44
Kentucky,39
Louisiana,37
Maine,43
Maryland,75
Massachusetts,92
Michigan,53
Minnesota,52
Mississippi,39
Missouri,49
Montana,40
Nebraska,44
Nevada,53
New Hampshire,50
New Jersey,87
New Mexico,42
New York,65
North Carolina,60
North Dakota,45
Ohio,48
Oklahoma,42
Oregon,59
Pennsylvania,58
Rhode Island,70
South Carolina,40
South Dakota,42
Tennessee,42
Texas,68
Utah,73
Vermont,47
Virginia,74
Washington,73
West Virginia,39
Wisconsin,47
Wyoming,39
