geoName,GPT-4
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,83
Colorado,38
Connecticut,83
Delaware,0
District of Columbia,0
Florida,34
Georgia,46
Hawaii,0
Idaho,0
Illinois,56
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,44
Massachusetts,68
Michigan,55
Minnesota,42
Mississippi,0
Missouri,42
Montana,0
Nebraska,0
Nevada,100
New Hampshire,0
New Jersey,48
New Mexico,0
New York,50
North Carolina,39
North Dakota,0
Ohio,24
Oklahoma,0
Oregon,54
Pennsylvania,53
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,33
Utah,64
Vermont,0
Virginia,61
Washington,78
West Virginia,0
Wisconsin,0
Wyoming,0
