geoName,Microsoft Copilot
Alabama,0
Alaska,0
Arizona,56
Arkansas,0
California,51
Colorado,37
Connecticut,67
Delaware,0
District of Columbia,0
Florida,48
Georgia,43
Hawaii,0
Idaho,0
Illinois,65
Indiana,43
Iowa,0
Kansas,58
Kentucky,40
Louisiana,0
Maine,0
Maryland,59
Massachusetts,57
Michigan,46
Minnesota,62
Mississippi,0
Missouri,51
Montana,0
Nebraska,0
Nevada,69
New Hampshire,100
New Jersey,66
New Mexico,0
New York,48
North Carolina,49
North Dakota,0
Ohio,48
Oklahoma,47
Oregon,43
Pennsylvania,44
Rhode Island,0
South Carolina,36
South Dakota,0
Tennessee,39
Texas,43
Utah,0
Vermont,0
Virginia,65
Washington,96
West Virginia,0
Wisconsin,44
Wyoming,0
