geoName,Meta AI
Alabama,0
Alaska,0
Arizona,42
Arkansas,0
California,100
Colorado,36
Connecticut,33
Delaware,0
District of Columbia,0
Florida,41
Georgia,36
Hawaii,0
Idaho,0
Illinois,45
Indiana,32
Iowa,0
Kansas,43
Kentucky,28
Louisiana,30
Maine,0
Maryland,59
Massachusetts,65
Michigan,33
Minnesota,28
Mississippi,77
Missouri,36
Montana,0
Nebraska,0
Nevada,64
New Hampshire,0
New Jersey,60
New Mexico,0
New York,69
North Carolina,31
North Dakota,0
Ohio,23
Oklahoma,32
Oregon,53
Pennsylvania,50
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,16
Texas,44
Utah,0
Vermont,0
Virginia,67
Washington,94
West Virginia,0
Wisconsin,50
Wyoming,0
