geoName,Anthropic
Alabama,0
Alaska,0
Arizona,14
Arkansas,0
California,65
Colorado,23
Connecticut,24
Delaware,0
District of Columbia,100
Florida,14
Georgia,22
Hawaii,0
Idaho,0
Illinois,18
Indiana,17
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,11
Massachusetts,44
Michigan,11
Minnesota,14
Mississippi,0
Missouri,12
Montana,0
Nebraska,0
Nevada,17
New Hampshire,0
New Jersey,31
New Mexico,0
New York,33
North Carolina,18
North Dakota,0
Ohio,9
Oklahoma,0
Oregon,18
Pennsylvania,13
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,9
Texas,15
Utah,20
Vermont,0
Virginia,26
Washington,55
West Virginia,0
Wisconsin,0
Wyoming,0
