geoName,Perplexity AI
Alabama,16
Alaska,0
Arizona,30
Arkansas,0
California,40
Colorado,22
Connecticut,35
Delaware,0
District of Columbia,0
Florida,25
Georgia,25
Hawaii,100
Idaho,0
Illinois,22
Indiana,14
Iowa,0
Kansas,0
Kentucky,26
Louisiana,29
Maine,0
Maryland,29
Massachusetts,37
Michigan,21
Minnesota,22
Mississippi,0
Missouri,34
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,33
New Mexico,60
New York,29
North Carolina,32
North Dakota,0
Ohio,16
Oklahoma,0
Oregon,30
Pennsylvania,25
Rhode Island,0
South Carolina,29
South Dakota,0
Tennessee,17
Texas,29
Utah,31
Vermont,0
Virginia,32
Washington,45
West Virginia,0
Wisconsin,0
Wyoming,0
