geoName,GitHub Copilot
Alabama,24
Alaska,0
Arizona,26
Arkansas,0
California,73
Colorado,54
Connecticut,0
Delaware,0
District of Columbia,100
Florida,25
Georgia,44
Hawaii,0
Idaho,0
Illinois,41
Indiana,26
Iowa,60
Kansas,0
Kentucky,0
Louisiana,31
Maine,0
Maryland,52
Massachusetts,52
Michigan,36
Minnesota,47
Mississippi,0
Missouri,30
Montana,0
Nebraska,0
Nevada,46
New Hampshire,0
New Jersey,47
New Mexico,0
New York,36
North Carolina,49
North Dakota,0
Ohio,27
Oklahoma,0
Oregon,59
Pennsylvania,28
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,35
Texas,37
Utah,46
Vermont,0
Virginia,65
Washington,79
West Virginia,0
Wisconsin,31
Wyoming,0
