geoName,GPT-5
Alabama,28
Alaska,29
Arizona,32
Arkansas,26
California,96
Colorado,46
Connecticut,39
Delaware,20
District of Columbia,67
Florida,36
Georgia,39
Hawaii,100
Idaho,23
Illinois,38
Indiana,26
Iowa,21
Kansas,28
Kentucky,25
Louisiana,29
Maine,16
Maryland,52
Massachusetts,93
Michigan,30
Minnesota,31
Mississippi,24
Missouri,31
Montana,8
Nebraska,26
Nevada,37
New Hampshire,16
New Jersey,44
New Mexico,30
New York,47
North Carolina,29
North Dakota,12
Ohio,28
Oklahoma,29
Oregon,41
Pennsylvania,36
Rhode Island,33
South Carolina,29
South Dakota,12
Tennessee,32
Texas,34
Utah,44
Vermont,23
Virginia,43
Washington,69
West Virginia,17
Wisconsin,28
Wyoming,29
