geoName,ChatGPT
Alabama,72
Alaska,57
Arizona,81
Arkansas,72
California,95
Colorado,71
Connecticut,79
Delaware,78
District of Columbia,100
Florida,85
Georgia,94
Hawaii,68
Idaho,71
Illinois,74
Indiana,65
Iowa,61
Kansas,68
Kentucky,62
Louisiana,71
Maine,54
Maryland,84
Massachusetts,84
Michigan,71
Minnesota,68
Mississippi,69
Missouri,65
Montana,57
Nebraska,68
Nevada,72
New Hampshire,62
New Jersey,93
New Mexico,69
New York,76
North Carolina,80
North Dakota,68
Ohio,63
Oklahoma,68
Oregon,69
Pennsylvania,69
Rhode Island,77
South Carolina,69
South Dakota,60
Tennessee,64
Texas,95
Utah,78
Vermont,55
Virginia,81
Washington,71
West Virginia,52
Wisconsin,60
Wyoming,57
