geoName,Google DeepMind
Alabama,20
Alaska,0
Arizona,23
Arkansas,19
California,93
Colorado,34
Connecticut,40
Delaware,28
District of Columbia,100
Florida,34
Georgia,35
Hawaii,80
Idaho,31
Illinois,30
Indiana,22
Iowa,22
Kansas,25
Kentucky,17
Louisiana,23
Maine,0
Maryland,58
Massachusetts,87
Michigan,19
Minnesota,26
Mississippi,0
Missouri,20
Montana,0
Nebraska,16
Nevada,25
New Hampshire,29
New Jersey,48
New Mexico,23
New York,61
North Carolina,26
North Dakota,0
Ohio,20
Oklahoma,19
Oregon,38
Pennsylvania,37
Rhode Island,41
South Carolina,22
South Dakota,0
Tennessee,22
Texas,29
Utah,38
Vermont,48
Virginia,47
Washington,73
West Virginia,16
Wisconsin,16
Wyoming,0
