geoName,GPT-4
Alabama,43
Alaska,0
Arizona,65
Arkansas,44
California,100
Colorado,66
Connecticut,57
Delaware,43
District of Columbia,87
Florida,60
Georgia,60
Hawaii,83
Idaho,29
Illinois,58
Indiana,36
Iowa,47
Kansas,50
Kentucky,39
Louisiana,46
Maine,29
Maryland,79
Massachusetts,94
Michigan,52
Minnesota,49
Mississippi,38
Missouri,49
Montana,0
Nebraska,45
Nevada,58
New Hampshire,31
New Jersey,66
New Mexico,55
New York,77
North Carolina,49
North Dakota,34
Ohio,48
Oklahoma,50
Oregon,57
Pennsylvania,54
Rhode Island,63
South Carolina,44
South Dakota,58
Tennessee,45
Texas,56
Utah,75
Vermont,73
Virginia,73
Washington,84
West Virginia,45
Wisconsin,48
Wyoming,56
