geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,84
Colorado,46
Connecticut,0
Delaware,0
District of Columbia,0
Florida,47
Georgia,34
Hawaii,0
Idaho,0
Illinois,44
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,61
Michigan,37
Minnesota,66
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,31
New Mexico,0
New York,44
North Carolina,44
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,62
Pennsylvania,43
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,57
Texas,35
Utah,0
Vermont,0
Virginia,59
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
