geoName,Grok AI
Alabama,0
Alaska,0
Arizona,40
Arkansas,0
California,28
Colorado,27
Connecticut,0
Delaware,0
District of Columbia,0
Florida,29
Georgia,20
Hawaii,0
Idaho,100
Illinois,13
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,29
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,24
New Mexico,0
New York,23
North Carolina,18
North Dakota,0
Ohio,17
Oklahoma,0
Oregon,0
Pennsylvania,28
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,21
Utah,62
Vermont,0
Virginia,15
Washington,25
West Virginia,0
Wisconsin,0
Wyoming,0
