geoName,GPT-4
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,8
Colorado,8
Connecticut,0
Delaware,0
District of Columbia,0
Florida,6
Georgia,0
Hawaii,0
Idaho,0
Illinois,5
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,8
Michigan,9
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,5
New Mexico,0
New York,8
North Carolina,4
North Dakota,0
Ohio,5
Oklahoma,0
Oregon,10
Pennsylvania,7
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,5
Utah,12
Vermont,0
Virginia,7
Washington,12
West Virginia,0
Wisconsin,0
Wyoming,100
