geoName,ChatGPT
Alabama,61
Alaska,51
Arizona,82
Arkansas,66
California,96
Colorado,69
Connecticut,82
Delaware,70
District of Columbia,100
Florida,78
Georgia,95
Hawaii,60
Idaho,62
Illinois,78
Indiana,61
Iowa,55
Kansas,63
Kentucky,51
Louisiana,59
Maine,51
Maryland,85
Massachusetts,89
Michigan,73
Minnesota,72
Mississippi,57
Missouri,58
Montana,49
Nebraska,52
Nevada,69
New Hampshire,53
New Jersey,96
New Mexico,59
New York,76
North Carolina,80
North Dakota,61
Ohio,60
Oklahoma,58
Oregon,69
Pennsylvania,60
Rhode Island,70
South Carolina,54
South Dakota,62
Tennessee,48
Texas,90
Utah,80
Vermont,53
Virginia,85
Washington,83
West Virginia,44
Wisconsin,57
Wyoming,49
