geoName,GitHub Copilot
Alabama,27
Alaska,0
Arizona,36
Arkansas,0
California,60
Colorado,51
Connecticut,39
Delaware,0
District of Columbia,100
Florida,18
Georgia,37
Hawaii,0
Idaho,0
Illinois,52
Indiana,22
Iowa,38
Kansas,44
Kentucky,43
Louisiana,0
Maine,0
Maryland,36
Massachusetts,76
Michigan,33
Minnesota,61
Mississippi,0
Missouri,35
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,44
New Mexico,0
New York,45
North Carolina,37
North Dakota,0
Ohio,24
Oklahoma,0
Oregon,55
Pennsylvania,36
Rhode Island,0
South Carolina,20
South Dakota,0
Tennessee,23
Texas,37
Utah,69
Vermont,0
Virginia,58
Washington,76
West Virginia,0
Wisconsin,45
Wyoming,0
