geoName,Anthropic
Alabama,9
Alaska,0
Arizona,16
Arkansas,0
California,68
Colorado,30
Connecticut,26
Delaware,0
District of Columbia,100
Florida,16
Georgia,19
Hawaii,29
Idaho,23
Illinois,21
Indiana,13
Iowa,11
Kansas,20
Kentucky,12
Louisiana,0
Maine,0
Maryland,23
Massachusetts,45
Michigan,17
Minnesota,21
Mississippi,0
Missouri,13
Montana,0
Nebraska,0
Nevada,22
New Hampshire,0
New Jersey,32
New Mexico,0
New York,50
North Carolina,13
North Dakota,0
Ohio,12
Oklahoma,0
Oregon,34
Pennsylvania,22
Rhode Island,0
South Carolina,9
South Dakota,0
Tennessee,14
Texas,19
Utah,21
Vermont,54
Virginia,30
Washington,75
West Virginia,0
Wisconsin,7
Wyoming,0
