geoName,Perplexity AI
Alabama,29
Alaska,0
Arizona,61
Arkansas,36
California,76
Colorado,48
Connecticut,63
Delaware,0
District of Columbia,100
Florida,42
Georgia,76
Hawaii,70
Idaho,36
Illinois,61
Indiana,38
Iowa,36
Kansas,48
Kentucky,30
Louisiana,25
Maine,0
Maryland,68
Massachusetts,85
Michigan,33
Minnesota,40
Mississippi,0
Missouri,38
Montana,0
Nebraska,0
Nevada,46
New Hampshire,38
New Jersey,58
New Mexico,50
New York,73
North Carolina,50
North Dakota,0
Ohio,40
Oklahoma,29
Oregon,53
Pennsylvania,49
Rhode Island,0
South Carolina,27
South Dakota,0
Tennessee,35
Texas,48
Utah,60
Vermont,0
Virginia,58
Washington,73
West Virginia,52
Wisconsin,31
Wyoming,0
