geoName,GitHub Copilot
Alabama,19
Alaska,0
Arizona,33
Arkansas,26
California,51
Colorado,42
Connecticut,27
Delaware,36
District of Columbia,100
Florida,25
Georgia,38
Hawaii,35
Idaho,43
Illinois,47
Indiana,18
Iowa,22
Kansas,22
Kentucky,19
Louisiana,13
Maine,0
Maryland,45
Massachusetts,75
Michigan,32
Minnesota,42
Mississippi,0
Missouri,26
Montana,0
Nebraska,23
Nevada,19
New Hampshire,42
New Jersey,39
New Mexico,0
New York,41
North Carolina,33
North Dakota,0
Ohio,26
Oklahoma,17
Oregon,39
Pennsylvania,28
Rhode Island,0
South Carolina,13
South Dakota,0
Tennessee,19
Texas,39
Utah,46
Vermont,0
Virginia,51
Washington,77
West Virginia,0
Wisconsin,34
Wyoming,0
