geoName,Anthropic
Alabama,8
Alaska,0
Arizona,12
Arkansas,7
California,44
Colorado,20
Connecticut,19
Delaware,0
District of Columbia,100
Florida,11
Georgia,13
Hawaii,29
Idaho,5
Illinois,16
Indiana,9
Iowa,6
Kansas,8
Kentucky,7
Louisiana,4
Maine,11
Maryland,26
Massachusetts,38
Michigan,11
Minnesota,12
Mississippi,0
Missouri,10
Montana,0
Nebraska,8
Nevada,11
New Hampshire,12
New Jersey,22
New Mexico,13
New York,31
North Carolina,10
North Dakota,0
Ohio,10
Oklahoma,7
Oregon,19
Pennsylvania,15
Rhode Island,10
South Carolina,5
South Dakota,0
Tennessee,10
Texas,14
Utah,21
Vermont,15
Virginia,22
Washington,48
West Virginia,0
Wisconsin,8
Wyoming,0
