geoName,GPT-5
Alabama,14
Alaska,0
Arizona,20
Arkansas,0
California,52
Colorado,27
Connecticut,0
Delaware,0
District of Columbia,74
Florida,28
Georgia,33
Hawaii,58
Idaho,0
Illinois,33
Indiana,15
Iowa,0
Kansas,0
Kentucky,0
Louisiana,26
Maine,0
Maryland,50
Massachusetts,100
Michigan,20
Minnesota,22
Mississippi,0
Missouri,15
Montana,0
Nebraska,0
Nevada,23
New Hampshire,0
New Jersey,43
New Mexico,34
New York,37
North Carolina,17
North Dakota,0
Ohio,15
Oklahoma,22
Oregon,38
Pennsylvania,31
Rhode Island,0
South Carolina,12
South Dakota,0
Tennessee,17
Texas,28
Utah,42
Vermont,0
Virginia,22
Washington,73
West Virginia,0
Wisconsin,21
Wyoming,0
