geoName,ChatGPT
Alabama,72
Alaska,50
Arizona,85
Arkansas,85
California,100
Colorado,76
Connecticut,86
Delaware,88
District of Columbia,99
Florida,89
Georgia,94
Hawaii,75
Idaho,63
Illinois,77
Indiana,73
Iowa,75
Kansas,75
Kentucky,69
Louisiana,77
Maine,62
Maryland,84
Massachusetts,84
Michigan,74
Minnesota,76
Mississippi,78
Missouri,67
Montana,48
Nebraska,75
Nevada,82
New Hampshire,65
New Jersey,96
New Mexico,82
New York,81
North Carolina,93
North Dakota,73
Ohio,69
Oklahoma,79
Oregon,64
Pennsylvania,75
Rhode Island,90
South Carolina,79
South Dakota,67
Tennessee,71
Texas,100
Utah,82
Vermont,54
Virginia,86
Washington,70
West Virginia,57
Wisconsin,68
Wyoming,55
