geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,41
Colorado,20
Connecticut,0
Delaware,0
District of Columbia,0
Florida,20
Georgia,10
Hawaii,0
Idaho,0
Illinois,8
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,30
Massachusetts,30
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,100
New Jersey,17
New Mexico,0
New York,22
North Carolina,18
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,17
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,6
Utah,0
Vermont,0
Virginia,17
Washington,27
West Virginia,0
Wisconsin,0
Wyoming,0
