geoName,ChatGPT
Alabama,39
Alaska,41
Arizona,68
Arkansas,43
California,84
Colorado,59
Connecticut,47
Delaware,46
District of Columbia,100
Florida,62
Georgia,72
Hawaii,60
Idaho,49
Illinois,56
Indiana,46
Iowa,37
Kansas,45
Kentucky,38
Louisiana,35
Maine,34
Maryland,64
Massachusetts,65
Michigan,45
Minnesota,43
Mississippi,39
Missouri,45
Montana,38
Nebraska,45
Nevada,53
New Hampshire,45
New Jersey,66
New Mexico,47
New York,57
North Carolina,54
North Dakota,35
Ohio,44
Oklahoma,46
Oregon,52
Pennsylvania,51
Rhode Island,44
South Carolina,36
South Dakota,37
Tennessee,45
Texas,70
Utah,61
Vermont,46
Virginia,79
Washington,65
West Virginia,35
Wisconsin,33
Wyoming,30
