geoName,Meta AI
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,97
Colorado,60
Connecticut,0
Delaware,0
District of Columbia,0
Florida,42
Georgia,45
Hawaii,0
Idaho,0
Illinois,38
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,59
Massachusetts,63
Michigan,40
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,53
New Mexico,0
New York,52
North Carolina,37
North Dakota,0
Ohio,43
Oklahoma,0
Oregon,76
Pennsylvania,72
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,42
Utah,0
Vermont,0
Virginia,44
Washington,100
West Virginia,0
Wisconsin,50
Wyoming,0
