geoName,GPT-4
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,100
Colorado,72
Connecticut,0
Delaware,0
District of Columbia,0
Florida,43
Georgia,0
Hawaii,0
Idaho,0
Illinois,32
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,88
Massachusetts,91
Michigan,43
Minnesota,48
Mississippi,0
Missouri,52
Montana,0
Nebraska,0
Nevada,84
New Hampshire,0
New Jersey,79
New Mexico,0
New York,70
North Carolina,31
North Dakota,0
Ohio,31
Oklahoma,0
Oregon,60
Pennsylvania,36
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,38
Utah,92
Vermont,0
Virginia,80
Washington,96
West Virginia,0
Wisconsin,0
Wyoming,0
