geoName,Perplexity AI
Alabama,55
Alaska,0
Arizona,61
Arkansas,0
California,100
Colorado,75
Connecticut,0
Delaware,0
District of Columbia,0
Florida,62
Georgia,73
Hawaii,0
Idaho,0
Illinois,47
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,54
Massachusetts,63
Michigan,31
Minnesota,0
Mississippi,0
Missouri,76
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,53
New Mexico,0
New York,58
North Carolina,64
North Dakota,0
Ohio,44
Oklahoma,81
Oregon,75
Pennsylvania,39
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,57
Texas,69
Utah,0
Vermont,0
Virginia,83
Washington,61
West Virginia,0
Wisconsin,0
Wyoming,0
