geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,19
Arkansas,0
California,62
Colorado,56
Connecticut,0
Delaware,100
District of Columbia,0
Florida,23
Georgia,44
Hawaii,0
Idaho,0
Illinois,35
Indiana,18
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,26
Massachusetts,56
Michigan,20
Minnesota,21
Mississippi,0
Missouri,37
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,42
New Mexico,0
New York,27
North Carolina,36
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,64
Pennsylvania,31
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,27
Texas,36
Utah,68
Vermont,0
Virginia,45
Washington,78
West Virginia,0
Wisconsin,24
Wyoming,0
