geoName,Microsoft Copilot
Alabama,0
Alaska,0
Arizona,0
Arkansas,100
California,65
Colorado,52
Connecticut,0
Delaware,0
District of Columbia,0
Florida,48
Georgia,37
Hawaii,0
Idaho,0
Illinois,50
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,39
Massachusetts,46
Michigan,41
Minnesota,0
Mississippi,0
Missouri,59
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,66
New Mexico,0
New York,54
North Carolina,44
North Dakota,0
Ohio,53
Oklahoma,0
Oregon,0
Pennsylvania,51
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,58
Utah,0
Vermont,0
Virginia,37
Washington,83
West Virginia,0
Wisconsin,0
Wyoming,0
