geoName,Anthropic
Alabama,0
Alaska,0
Arizona,11
Arkansas,0
California,49
Colorado,14
Connecticut,0
Delaware,0
District of Columbia,100
Florida,5
Georgia,11
Hawaii,0
Idaho,0
Illinois,15
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,18
Massachusetts,31
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,20
New Mexico,0
New York,21
North Carolina,9
North Dakota,0
Ohio,9
Oklahoma,0
Oregon,28
Pennsylvania,13
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,15
Texas,12
Utah,0
Vermont,0
Virginia,17
Washington,50
West Virginia,0
Wisconsin,0
Wyoming,0
