geoName,GPT-4
Alabama,21
Alaska,36
Arizona,36
Arkansas,23
California,81
Colorado,46
Connecticut,46
Delaware,34
District of Columbia,100
Florida,33
Georgia,35
Hawaii,43
Idaho,31
Illinois,39
Indiana,31
Iowa,25
Kansas,28
Kentucky,21
Louisiana,23
Maine,31
Maryland,50
Massachusetts,69
Michigan,33
Minnesota,38
Mississippi,15
Missouri,32
Montana,37
Nebraska,30
Nevada,46
New Hampshire,45
New Jersey,44
New Mexico,28
New York,46
North Carolina,35
North Dakota,0
Ohio,29
Oklahoma,21
Oregon,55
Pennsylvania,38
Rhode Island,39
South Carolina,21
South Dakota,0
Tennessee,26
Texas,31
Utah,54
Vermont,44
Virginia,52
Washington,84
West Virginia,19
Wisconsin,26
Wyoming,37
