geoName,Grok AI
Alabama,29
Alaska,0
Arizona,44
Arkansas,33
California,47
Colorado,48
Connecticut,49
Delaware,0
District of Columbia,100
Florida,39
Georgia,31
Hawaii,34
Idaho,31
Illinois,36
Indiana,32
Iowa,26
Kansas,30
Kentucky,27
Louisiana,23
Maine,34
Maryland,34
Massachusetts,41
Michigan,32
Minnesota,32
Mississippi,0
Missouri,35
Montana,0
Nebraska,0
Nevada,43
New Hampshire,46
New Jersey,45
New Mexico,0
New York,39
North Carolina,33
North Dakota,0
Ohio,26
Oklahoma,32
Oregon,51
Pennsylvania,26
Rhode Island,0
South Carolina,32
South Dakota,0
Tennessee,26
Texas,37
Utah,55
Vermont,0
Virginia,37
Washington,56
West Virginia,41
Wisconsin,30
Wyoming,0
