geoName,GPT-5
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,16
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,100
Florida,13
Georgia,10
Hawaii,0
Idaho,0
Illinois,10
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,17
Massachusetts,19
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,0
New Mexico,0
New York,13
North Carolina,0
North Dakota,0
Ohio,0
Oklahoma,0
Oregon,0
Pennsylvania,14
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,7
Utah,0
Vermont,0
Virginia,17
Washington,31
West Virginia,0
Wisconsin,0
Wyoming,0
