geoName,Google DeepMind
Alabama,0
Alaska,0
Arizona,22
Arkansas,0
California,71
Colorado,28
Connecticut,26
Delaware,0
District of Columbia,100
Florida,17
Georgia,21
Hawaii,0
Idaho,0
Illinois,31
Indiana,16
Iowa,0
Kansas,0
Kentucky,0
Louisiana,28
Maine,0
Maryland,30
Massachusetts,65
Michigan,20
Minnesota,17
Mississippi,0
Missouri,21
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,36
New Mexico,0
New York,42
North Carolina,15
North Dakota,0
Ohio,18
Oklahoma,0
Oregon,28
Pennsylvania,24
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,19
Texas,22
Utah,0
Vermont,0
Virginia,24
Washington,62
West Virginia,0
Wisconsin,0
Wyoming,0
