geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,33
Arkansas,0
California,64
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,18
Georgia,24
Hawaii,0
Idaho,0
Illinois,29
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,31
Massachusetts,58
Michigan,32
Minnesota,48
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,28
New Mexico,0
New York,36
North Carolina,18
North Dakota,0
Ohio,22
Oklahoma,0
Oregon,0
Pennsylvania,30
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,30
Utah,61
Vermont,0
Virginia,40
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
