geoName,GitHub Copilot
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,49
Colorado,36
Connecticut,0
Delaware,0
District of Columbia,0
Florida,20
Georgia,26
Hawaii,0
Idaho,0
Illinois,34
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,58
Michigan,35
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,36
New Mexico,0
New York,30
North Carolina,33
North Dakota,0
Ohio,27
Oklahoma,0
Oregon,0
Pennsylvania,22
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,33
Utah,0
Vermont,0
Virginia,50
Washington,100
West Virginia,0
Wisconsin,66
Wyoming,0
