geoName,Meta AI
Alabama,0
Alaska,0
Arizona,30
Arkansas,72
California,100
Colorado,38
Connecticut,0
Delaware,0
District of Columbia,0
Florida,31
Georgia,38
Hawaii,0
Idaho,0
Illinois,43
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,37
Massachusetts,50
Michigan,28
Minnesota,0
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,45
New Mexico,0
New York,50
North Carolina,35
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,48
Pennsylvania,28
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,38
Utah,0
Vermont,0
Virginia,36
Washington,92
West Virginia,0
Wisconsin,0
Wyoming,0
