geoName,Anthropic
Alabama,17
Alaska,0
Arizona,33
Arkansas,21
California,78
Colorado,38
Connecticut,28
Delaware,0
District of Columbia,100
Florida,25
Georgia,27
Hawaii,0
Idaho,37
Illinois,26
Indiana,23
Iowa,0
Kansas,0
Kentucky,15
Louisiana,17
Maine,50
Maryland,28
Massachusetts,59
Michigan,28
Minnesota,24
Mississippi,0
Missouri,20
Montana,0
Nebraska,0
Nevada,18
New Hampshire,36
New Jersey,42
New Mexico,0
New York,42
North Carolina,28
North Dakota,0
Ohio,18
Oklahoma,19
Oregon,38
Pennsylvania,23
Rhode Island,0
South Carolina,16
South Dakota,0
Tennessee,16
Texas,29
Utah,31
Vermont,0
Virginia,37
Washington,91
West Virginia,0
Wisconsin,15
Wyoming,0
