geoName,GPT-4
Alabama,0
Alaska,0
Arizona,39
Arkansas,0
California,71
Colorado,60
Connecticut,68
Delaware,0
District of Columbia,0
Florida,32
Georgia,32
Hawaii,0
Idaho,0
Illinois,49
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,49
Massachusetts,63
Michigan,59
Minnesota,0
Mississippi,0
Missouri,47
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,43
New Mexico,0
New York,59
North Carolina,43
North Dakota,0
Ohio,42
Oklahoma,0
Oregon,0
Pennsylvania,36
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,32
Utah,0
Vermont,0
Virginia,51
Washington,100
West Virginia,0
Wisconsin,0
Wyoming,0
