geoName,Microsoft Copilot
Alabama,0
Alaska,0
Arizona,20
Arkansas,0
California,35
Colorado,39
Connecticut,25
Delaware,0
District of Columbia,100
Florida,27
Georgia,22
Hawaii,0
Idaho,0
Illinois,35
Indiana,24
Iowa,0
Kansas,0
Kentucky,31
Louisiana,0
Maine,0
Maryland,24
Massachusetts,30
Michigan,21
Minnesota,28
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,37
New Mexico,0
New York,33
North Carolina,21
North Dakota,0
Ohio,21
Oklahoma,0
Oregon,40
Pennsylvania,24
Rhode Island,0
South Carolina,21
South Dakota,0
Tennessee,14
Texas,29
Utah,33
Vermont,0
Virginia,41
Washington,56
West Virginia,0
Wisconsin,19
Wyoming,0
